_id,Yil,Ilce,ilce_kodu,Erkek ve 0-4,Erkek ve 5-9,Erkek ve 10-14,Erkek ve 15-19,Erkek ve 20-24,Erkek ve 25-29,Erkek ve 30-34,Erkek ve 35-39,Erkek ve 40-44,Erkek ve 45-49,Erkek ve 50-54,Erkek ve 55-59,Erkek ve 60-64,Erkek ve 65-69,Erkek ve 70-74,Erkek ve 75-79,Erkek ve 80-84,Erkek ve 85-89,Erkek ve 90+,Kadin ve 0-4,Kadin ve 5-9,Kadin ve 10-14,Kadin ve 15-19,Kadin ve 20-24,Kadin ve 25-29,Kadin ve 30-34,Kadin ve 35-39,Kadin ve 40-44,Kadin ve 45-49,Kadin ve 50-54,Kadin ve 55-59,Kadin ve 60-64,Kadin ve 65-69,Kadin ve 70-74,Kadin ve 75-79,Kadin ve 80-84,Kadin ve 85-89,Kadin ve 90+
46,2008,Büyükçekmece,1782,6512,6852,6998,6555,6817,8104,7681,6989,6143,5491,4443,3327,2361,1744,1144,792,331,98,30,6068,6358,6535,6052,7015,7990,7586,6955,5922,5266,4198,3346,2587,1799,1241,999,539,200,72
47,2008,Çatalca,1237,2119,2247,2578,2368,3614,2867,2594,2435,2307,2244,1887,1488,1110,777,641,517,272,74,24,1961,2210,2472,2367,2353,2614,2463,2310,2309,2104,1780,1347,1091,917,736,637,356,121,28
48,2008,Çekmeköy,2052,6910,7072,6774,6273,6395,8070,7693,6929,5682,4512,3370,2206,1358,907,518,397,137,39,9,6641,6566,6540,5833,6531,8179,7385,6325,4978,3954,3073,2064,1403,1018,613,550,316,106,26
49,2008,Esenler,2016,22672,23587,23461,22246,22067,26999,23390,19941,16397,12949,9522,6315,3834,2499,1417,1094,372,104,17,21706,22057,22280,20236,22182,24835,21187,18200,14376,11645,8955,6456,4193,2845,1856,1495,812,276,82
50,2008,Esenyurt,2053,19776,19224,18123,17489,16691,23295,19815,15774,12210,9876,7451,4828,3069,1745,1061,812,313,75,19,18571,17879,16496,15757,19133,21722,17440,14065,10705,9135,6845,4770,3213,2203,1361,1236,587,191,62
51,2008,Eyüp,1325,12872,13510,14160,13096,12702,16801,16007,14755,12621,10721,8851,6295,4165,2616,1744,1368,560,185,36,11943,12535,12790,12119,13965,16913,15550,14258,11820,10229,8343,6010,4296,3188,2304,2072,1145,362,131
52,2008,Fatih,1327,14188,14989,16043,17433,20174,24334,20318,17532,15422,14378,12955,10554,7602,5694,4095,3405,1636,543,136,13354,13935,15297,15757,20062,21522,18942,17213,15688,14725,13127,10880,8763,7175,5837,5311,3320,1205,411
53,2008,Gaziosmanpaşa,1336,20279,21338,21611,20360,17692,24459,22598,19703,16737,14340,11672,8338,5175,3315,2099,1622,705,175,50,19223,20063,20262,18827,20838,24002,21273,18505,15666,13739,11208,8064,5555,3846,2890,2382,1467,442,155
54,2008,Güngören,2010,12323,12504,13090,13304,12959,17089,15130,13559,11336,10351,8479,6240,4268,2763,1763,1417,601,133,27,11828,11689,12374,12356,14090,16611,14830,12999,11405,10192,8444,6340,4500,3299,2356,1962,1172,360,128
55,2008,Kadıköy,1421,11626,11797,13064,15241,18619,22701,22244,19978,17746,17719,17489,15552,13400,10142,7541,6453,4184,1582,515,11058,10847,12853,14705,19397,24744,24734,22554,21157,21511,21145,18547,16800,13071,10806,9692,7739,3185,1314
56,2008,Kağıthane,1810,17427,17412,18223,17610,17298,23952,21613,19583,16670,13227,9897,6388,3976,2905,1978,1769,570,125,34,16696,16801,17088,16048,18588,22639,20766,18402,15099,11879,9017,6470,4590,3774,2644,2290,1227,330,125
57,2008,Kartal,1449,15945,16390,16986,16986,19991,22067,21063,19029,16261,14251,11801,8665,6031,4082,2565,2038,893,249,58,14897,15241,16105,15622,17782,22141,20834,18756,16189,14043,11510,8737,6359,4648,3206,2795,1734,586,212
58,2008,Küçükçekmece,1823,28825,30094,30185,29245,27268,36429,33870,29969,24712,20856,15937,11567,7463,4872,3066,2327,928,278,80,27346,28474,28112,26992,30152,36294,32309,28207,23144,19543,15250,11754,8103,5629,3992,3343,1704,556,206
59,2008,Maltepe,2012,13761,14154,15160,15165,19025,20910,20446,18194,15569,14030,12035,9505,6896,4662,3084,2464,1152,376,97,13137,13419,14293,14436,17531,21421,20704,18658,15774,14429,12984,9952,7585,5557,4009,3550,2350,814,317
60,2008,Pendik,1835,24570,25095,24882,23244,21815,30245,27701,24141,20014,16741,13015,8998,5730,3955,2368,1925,791,203,54,22976,23589,23221,21811,24038,29450,25671,22355,18234,15422,12243,8628,6149,4572,3014,2609,1470,509,171
61,2008,Sancaktepe,2054,12010,12012,11514,10934,9824,13270,11879,9957,7930,6381,4568,2890,1808,1135,674,515,202,68,13,11163,11570,10599,9967,11182,12576,10616,8667,6983,5573,4099,2956,1974,1348,870,807,380,129,50
62,2008,Sarıyer,1604,9092,9558,10221,10362,13695,14780,13239,12144,11057,9505,7908,6194,4475,2936,1881,1614,643,196,56,8595,8975,9508,9727,12691,14075,13355,12480,10875,9415,8015,6169,4604,3338,2281,1884,1202,450,177
